split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,60000,60000,1.911448201497396,1.9121333333333332,32768,127,0.01,0.003875732421875,60000,15000,17639,16438,16512,0.9560666666666666,0.23901666666666666,0.8130279494302398
train,train_windows_nonoverlap,HoSa,60000,60000,1.648363818359375,1.6490666666666667,32768,127,0.01,0.003875732421875,60000,15000,16995,16137,15716,0.8245333333333333,0.20613333333333334,0.7277434539570462
train,train_windows_nonoverlap,DaRe,60000,60000,1.8856283040364583,1.8864,32768,127,0.01,0.003875732421875,60000,15000,14457,15181,12852,0.9432,0.2358,0.9786262710105831
train,train_windows_nonoverlap,ScPo,60000,60000,1.930038240559896,1.9306666666666668,32768,127,0.01,0.003875732421875,60000,15000,17448,16398,16336,0.9653333333333334,0.24133333333333334,0.8298945437872536
train,train_windows_nonoverlap,EsCo,60000,60000,1.8981086018880209,1.8989333333333334,32768,127,0.01,0.003875732421875,60000,15000,17715,16300,16612,0.9494666666666667,0.23736666666666667,0.8039514535704205
train,train_windows_nonoverlap,YeMi,44213,44211,1.812115977305563,1.8127615299359887,32768,127,0.01,0.003875732421875,44213,11054,12547,11797,11772,0.9063807649679944,0.22658494108067762,0.7984378735952817
train,train_windows_nonoverlap,BuEb,11364,11364,1.9469622753321894,1.9472016895459345,32768,127,0.01,0.003875732421875,11364,2841,3535,3178,3392,0.9736008447729673,0.24340021119324182,0.7824611032531824
train,train_windows_nonoverlap,AgPh,26382,26382,1.9177222033192611,1.9182776135243726,32768,127,0.01,0.003875732421875,26382,6596,7933,7240,7472,0.9591388067621863,0.23978470169054658,0.7974284633808143
train,train_windows_nonoverlap,GaGa,60000,60000,1.8695948567708334,1.8702666666666667,32768,127,0.01,0.003875732421875,60000,15000,17079,16298,15948,0.9351333333333334,0.23378333333333334,0.8213010129398677
train,train_windows_nonoverlap,DrMe,60000,60000,1.8920719930013021,1.8928,32768,127,0.01,0.003875732421875,60000,15000,17111,16264,15740,0.9464,0.2366,0.8296417509204606
train,train_windows_nonoverlap,EnIn,60000,60000,1.874136189778646,1.8749333333333333,32768,127,0.01,0.003875732421875,60000,15000,17354,16196,16260,0.9374666666666667,0.23436666666666667,0.8103031001498213
train,train_windows_nonoverlap,PlFa,60000,60000,1.8204131754557291,1.8210666666666666,32768,127,0.01,0.003875732421875,60000,15000,16387,15862,15196,0.9105333333333333,0.22763333333333333,0.8334655519619211
train,train_windows_nonoverlap,HePy,60000,60000,1.86112783203125,1.8618666666666666,32768,127,0.01,0.003875732421875,60000,15000,17149,16132,16072,0.9309333333333333,0.23273333333333332,0.8142748848329349
train,train_windows_nonoverlap,AeCa,60000,60000,1.923513232421875,1.9242666666666666,32768,127,0.01,0.003875732421875,60000,15000,17801,16386,16700,0.9621333333333333,0.24053333333333332,0.810740969608449
train,train_windows_nonoverlap,HaHi,60000,60000,1.7998150065104166,1.8006666666666666,32768,127,0.01,0.003875732421875,60000,15000,17222,15955,16148,0.9003333333333333,0.22508333333333333,0.7841714086633376
train,train_windows_nonoverlap,AnCa,60000,60000,1.8377644449869792,1.8385333333333334,32768,127,0.01,0.003875732421875,60000,15000,17422,16298,16268,0.9192666666666667,0.22981666666666667,0.7914705544713581
train,train_windows_nonoverlap,WaMe,60000,60000,1.9352365478515625,1.936,32768,127,0.01,0.003875732421875,60000,15000,17805,16375,16700,0.968,0.242,0.8155012636899748
val,train_windows_nonoverlap,OrSa,60000,60000,1.9101106770833334,1.9109333333333334,32768,127,0.01,0.003875732421875,60000,15000,17607,16481,16400,0.9554666666666667,0.23886666666666667,0.8139944340319192
val,train_windows_nonoverlap,HoSa,60000,60000,1.669922802734375,1.6705333333333334,32768,127,0.01,0.003875732421875,60000,15000,17118,16105,15924,0.8352666666666667,0.20881666666666668,0.7319196167776609
val,train_windows_nonoverlap,DaRe,60000,60000,1.9052322428385418,1.9058666666666666,32768,127,0.01,0.003875732421875,60000,15000,10082,11576,8944,0.9529333333333333,0.23823333333333332,1.4177742511406466
val,train_windows_nonoverlap,ScPo,60000,60000,1.9347203287760417,1.9354666666666667,32768,127,0.01,0.003875732421875,60000,15000,17884,16418,16756,0.9677333333333333,0.24193333333333333,0.8116752404383807
val,train_windows_nonoverlap,EsCo,60000,60000,1.8972244710286459,1.8981333333333332,32768,127,0.01,0.003875732421875,60000,15000,17640,16281,16536,0.9490666666666666,0.23726666666666665,0.8070294784580498
val,train_windows_nonoverlap,YeMi,14737,14736,1.8263942788918295,1.8268186753528772,32768,127,0.01,0.003875732421875,14737,3685,4301,3989,4140,0.9134093376764386,0.2283368392481509,0.7823761915833527
val,train_windows_nonoverlap,BuEb,3788,3786,1.9697774412514857,1.9693608029582672,32768,127,0.01,0.003875732421875,3788,947,1245,1104,1312,0.9846804014791336,0.24604012671594508,0.7485943775100402
val,train_windows_nonoverlap,AgPh,8794,8793,1.935943308508899,1.9360855225747753,32768,127,0.01,0.003875732421875,8794,2199,2737,2486,2688,0.9680427612873876,0.24198317034341596,0.7774936061381074
val,train_windows_nonoverlap,GaGa,60000,60000,1.8711291056315105,1.8718666666666666,32768,127,0.01,0.003875732421875,60000,15000,17534,16325,16420,0.9359333333333333,0.23398333333333332,0.8006729782137562
val,train_windows_nonoverlap,DrMe,60000,60000,1.9086248372395833,1.9093333333333333,32768,127,0.01,0.003875732421875,60000,15000,17705,16452,16524,0.9546666666666667,0.23866666666666667,0.8088110703191189
val,train_windows_nonoverlap,EnIn,60000,60000,1.8905577392578126,1.8913333333333333,32768,127,0.01,0.003875732421875,60000,15000,17543,16349,16496,0.9456666666666667,0.23641666666666666,0.8085846206464117
val,train_windows_nonoverlap,PlFa,60000,60000,1.822139579264323,1.8228,32768,127,0.01,0.003875732421875,60000,15000,16964,15950,15940,0.9114,0.22785,0.8058830464513087
val,train_windows_nonoverlap,HePy,60000,60000,1.8558867106119792,1.8565333333333334,32768,127,0.01,0.003875732421875,60000,15000,17069,16102,15984,0.9282666666666667,0.23206666666666667,0.8157478469740466
val,train_windows_nonoverlap,AeCa,60000,60000,1.9102809163411458,1.9110666666666667,32768,127,0.01,0.003875732421875,60000,15000,17702,16309,16648,0.9555333333333333,0.23888333333333334,0.8096825217489549
val,train_windows_nonoverlap,HaHi,60000,60000,1.8018819661458334,1.8028,32768,127,0.01,0.003875732421875,60000,15000,17253,15947,16216,0.9014,0.22535,0.7836897930794644
val,train_windows_nonoverlap,AnCa,60000,60000,1.8394685506184896,1.8401333333333334,32768,127,0.01,0.003875732421875,60000,15000,17523,16321,16352,0.9200666666666667,0.23001666666666667,0.7875934486103978
val,train_windows_nonoverlap,WaMe,60000,60000,1.9353138427734375,1.936,32768,127,0.01,0.003875732421875,60000,15000,17781,16358,16696,0.968,0.242,0.8166019908891513
test,train_windows_nonoverlap,OrSa,60000,60000,1.9086872436523437,1.9094666666666666,32768,127,0.01,0.003875732421875,60000,15000,17750,16480,16556,0.9547333333333333,0.23868333333333333,0.8068169014084507
test,train_windows_nonoverlap,HoSa,60000,60000,1.789161474609375,1.7898666666666667,32768,127,0.01,0.003875732421875,60000,15000,17321,16193,16188,0.8949333333333334,0.22373333333333334,0.775012990012124
test,train_windows_nonoverlap,DaRe,60000,60000,1.8496087443033855,1.8504,32768,127,0.01,0.003875732421875,60000,15000,17295,16196,16160,0.9252,0.2313,0.8024284475281873
test,train_windows_nonoverlap,ScPo,60000,60000,1.9290033284505208,1.9297333333333333,32768,127,0.01,0.003875732421875,60000,15000,15615,16025,14540,0.9648666666666667,0.24121666666666666,0.9268651937239833
test,train_windows_nonoverlap,EsCo,60000,60000,1.9101876057942708,1.9109333333333334,32768,127,0.01,0.003875732421875,60000,15000,17676,16357,16472,0.9554666666666667,0.23886666666666667,0.81081692690654
test,train_windows_nonoverlap,YeMi,14739,14739,1.8330453139841576,1.833502951353552,32768,127,0.01,0.003875732421875,14739,3685,4285,3974,4104,0.916751475676776,0.229187868919194,0.7883313885647608
test,train_windows_nonoverlap,BuEb,3788,3786,1.9561782087274664,1.954569466455362,32768,127,0.01,0.003875732421875,3788,947,1244,1114,1300,0.977284733227681,0.2441921858500528,0.7435691318327974
test,train_windows_nonoverlap,AgPh,8794,8793,1.936104569597265,1.9360855225747753,32768,127,0.01,0.003875732421875,8794,2199,2758,2486,2684,0.9680427612873876,0.24198317034341596,0.7715736040609137
test,train_windows_nonoverlap,GaGa,60000,60000,1.8366233439127604,1.8374666666666666,32768,127,0.01,0.003875732421875,60000,15000,17322,16132,16200,0.9187333333333333,0.22968333333333332,0.7955778778432052
test,train_windows_nonoverlap,DrMe,60000,60000,1.8961746907552084,1.8969333333333334,32768,127,0.01,0.003875732421875,60000,15000,17743,16415,16532,0.9484666666666667,0.23711666666666667,0.8018373443047963
test,train_windows_nonoverlap,EnIn,60000,60000,1.8819713745117188,1.8828,32768,127,0.01,0.003875732421875,60000,15000,17412,16335,16240,0.9414,0.23535,0.8109924190213645
test,train_windows_nonoverlap,PlFa,60000,60000,1.8013641479492188,1.8021333333333334,32768,127,0.01,0.003875732421875,60000,15000,16617,15857,15620,0.9010666666666667,0.22526666666666667,0.8133838839742432
test,train_windows_nonoverlap,HePy,60000,60000,1.8729612223307293,1.8737333333333333,32768,127,0.01,0.003875732421875,60000,15000,17213,16144,16172,0.9368666666666666,0.23421666666666666,0.8164178237378725
test,train_windows_nonoverlap,AeCa,60000,60000,1.9014764689127603,1.9022666666666668,32768,127,0.01,0.003875732421875,60000,15000,17656,16336,16592,0.9511333333333334,0.23778333333333335,0.8080539193475306
test,train_windows_nonoverlap,HaHi,60000,60000,1.9252157511393229,1.926,32768,127,0.01,0.003875732421875,60000,15000,17702,16204,16604,0.963,0.24075,0.8160094904530562
test,train_windows_nonoverlap,AnCa,60000,60000,1.8020777425130208,1.8028,32768,127,0.01,0.003875732421875,60000,15000,16737,16107,15548,0.9014,0.22535,0.8078508693314214
test,train_windows_nonoverlap,WaMe,60000,60000,1.9339154174804687,1.9346666666666668,32768,127,0.01,0.003875732421875,60000,15000,17791,16379,16700,0.9673333333333334,0.24183333333333334,0.8155809116969254
